title,date,days
10 Years of Open Source Machine Learning,7 points by tstonez 19 hours ago  | 1 comment,1
What machines can learn from Apple Watch: detecting undiagnosed heart condition,2 points by koukouhappy 7 hours ago  | discuss,1
The Deep Roots of Javascript Fatigue,3 points by nikkielizdemere 13 hours ago  | discuss,1
Data science intro for math/phys background,9 points by pmigdal 1 day ago  | discuss,1
"Data Science Pop-Up in Austin, TX",2 points by AnnaOnTheWeb 13 hours ago  | discuss,1
Data Science Tools: The Biggest Winners and Losers,8 points by AnnaOnTheWeb 1 day ago  | discuss,1
Analyzing Golden State Warriors' passing network using GraphFrames in Spark,3 points by yukiegosapporo 21 hours ago  | discuss,1
Making transparent how variations in analytical choices affect results,4 points by rahmaniacc 1 day ago  | discuss,1
Neural Networks demystified,13 points by elyase 2 days ago  | discuss,2
Has your conversion rate changed? Bayesian timeseries analysis with Python,10 points by yummyfajitas 2 days ago  | discuss,2
Descriptive Statistics in SQL,4 points by nickhould 1 day ago  | discuss,1
"XGBoost4J: Portable Distributed XGboost in Spark, Flink and Dataflow",7 points by crowwork 2 days ago  | discuss,2
Introduction to Scikit Flow -  Simplified Interface to TensorFlow,4 points by lefish 1 day ago  | discuss,1
The Personality Space of Cartoon Characters,3 points by lefish 1 day ago  | discuss,1
"Machine Learning: An In-Depth, Non-Technical Guide???Part 4",5 points by innoarchitech 2 days ago  | discuss,2
How to learn machine learning?,4 points by kiechu 2 days ago  | 1 comment,2
How do we make Data Tau work?,20 points by hal8 3 days ago  | 10 comments,3
7 Big Data Technologies and When to Use Them that All Data Engineers Should Know,2 points by galvanize 1 day ago  | discuss,1
Data Science Slack channel - Click for invite,4 points by jyotsna 2 days ago  | discuss,2
Minecraft to run artificial intelligence experiments,4 points by bsadeghi 2 days ago  | discuss,2
Deep Q-Learning (Space Invaders),4 points by pmigdal 2 days ago  | discuss,2
Megaman: Manifold Learning with Millions of points,3 points by dperry 2 days ago  | 2 comments,2
Computing Classification Evaluation Metrics in R,2 points by lefish 1 day ago  | discuss,1
A Billion Taxi Rides on Amazon EMR Running Presto,3 points by marklit 2 days ago  | discuss,2
Is Scala a better choice than Python for Apache Spark?,5 points by srinify 3 days ago  | discuss,3
Julia: A Fast Language for Numerical Computing,5 points by srinify 3 days ago  | discuss,3
Intellexer - Natural Language Processing and Text Mining REST API,16 points by j_downer 7 days ago  | discuss,7
Shiny app for running a Tensorflow demo,3 points by shinyman 3 days ago  | discuss,3
"Playing ""Moneyball"" on EA FIFA 16",14 points by aabb13 7 days ago  | 3 comments,7
File details and owners with gitnoc and git-pandas,3 points by wdm0006 3 days ago  | discuss,3
BallR: Interactive NBA Shot Charts with R and Shiny,12 points by carlosgg 8 days ago  | discuss,8
Bayesian Estimation of G Train Wait Times,7 points by jamesdreiss 6 days ago  | discuss,6
Announcing Apache Flink 1.0.0,11 points by mxm 8 days ago  | discuss,8
Train your own image classifier with Inception in TensorFlow,7 points by elyase 7 days ago  | discuss,7
Neural Doodles: Workflows for the Next Generation of Artists,5 points by pmigdal 6 days ago  | discuss,6
Question: What do you want to say about working with data?,2 points by emiller425 2 days ago  | discuss,2
Graph Databases 101,5 points by carlosgg 6 days ago  | discuss,6
Statisticians Agree: It???s Time To Stop Misusing P-Value,9 points by jpiburn 9 days ago  | 5 comments,9
XGBoost: A Scalable Tree Boosting System article,5 points by tfturing 6 days ago  | discuss,6
Top 50 Data Science thought leaders on Twitter,3 points by datawerq 5 days ago  | 3 comments,5
International Women's Day: What #PledgeForParity Means To Us,5 points by ddrum001 8 days ago  | discuss,8
Unsupervised Learning with Even Less Supervision Using Bayesian Optimization,2 points by idewanck 5 days ago  | discuss,5
Announcing R Tools for Visual Studio,3 points by brakmic 7 days ago  | discuss,7
Genomic Ranges - an Introduction to Working with Genomic Data,3 points by AnnaOnTheWeb 7 days ago  | discuss,7
Deriving Better Insights From Time Series Data With Cycle Plots,2 points by clevertap 5 days ago  | discuss,5
DrivenData Competition: Model/Visualize Fog Patterns in Morocco,4 points by bull 9 days ago  | discuss,9
Introducing GraphFrames,7 points by falaki 13 days ago  | discuss,13
Ask DT: Who Is Hiring? (March 2016),27 points by whoishiring 15 days ago  | 15 comments,15
Deep Learning: Nine Lectures at Coll??ge de France by Yan LeCun,5 points by Anon84 11 days ago  | discuss,11
TensorFlow for Poets,9 points by ebellm 15 days ago  | 1 comment,15
How to work with large JSON datasets using Python and Pandas,9 points by brian_spiering 15 days ago  | discuss,15
SQL for Data Analysis,3 points by nickhould 8 days ago  | 6 comments,8
Stream processing and messaging systems for the IoT age,2 points by gradientflow 6 days ago  | discuss,6
Optimizing Facebook Campaigns with R,2 points by AnnaOnTheWeb 6 days ago  | 1 comment,6
"Trump Tweets on a Globe (aka Fun with d3, socket.io, and the Twitter API)",8 points by joelgrus 15 days ago  | discuss,15
Why pandas users should be excited about Apache Arrow,17 points by pmigdal 23 days ago  | discuss,23
Histogram intersection for change detection,8 points by datadive 16 days ago  | discuss,16
A simpler way to merge data streams,2 points by apoverton 7 days ago  | discuss,7
Distributed TensorFlow just open-sourced,10 points by elyase 19 days ago  | discuss,19
D3.js Screencasts (1 in 3 are free),4 points by Veerle 12 days ago  | discuss,12
Regression and Classification with Examples in R,5 points by soates 14 days ago  | discuss,14
Free online course on statistical shape modelling,8 points by shapemean 19 days ago  | discuss,19
"Don't worry about deep learning, deepen your understanding of causality instead",22 points by yanir 31 days ago  | discuss,31
Skizze - A high throughput probabilistic data structure service and storage,2 points by seiflotfy 8 days ago  | discuss,8
Work with private repositories and other updates of the FlyElephant platform,2 points by m31 9 days ago  | discuss,9
How to import XML to almost anywhere,4 points by Jammink 14 days ago  | discuss,14
Optimizing Notification Timing for One Signal,8 points by megandias 20 days ago  | discuss,20
Survival Analysis of Cricket Player Careers,8 points by keshav92 20 days ago  | 6 comments,20
Generate image analogies using neural matching and blending,2 points by pmigdal 9 days ago  | discuss,9
"Analyzing 1.8M tweets from Super Bowl 50 (Twython, Twitter API, AYLIEN)",4 points by mikewally 14 days ago  | discuss,14
Newly released sklearn compatible library of categorical encoders,7 points by wdm0006 19 days ago  | discuss,19
Watch Tiny Neural Nets Learn,4 points by swanint 15 days ago  | discuss,15
Four pitfalls of hill climbing: An animated look,5 points by csaid81 17 days ago  | discuss,17
"Decision Forests, Convolutional Networks and the Models in-Between",2 points by ebellm 10 days ago  | discuss,10
How a Math Genius Hacked OkCupid to Find True Love,15 points by roh_codeur 28 days ago  | discuss,28
No developers for PyLearn2,3 points by tfturing 13 days ago  | discuss,13
Density Estimation with Dirichlet Process Mixtures using PyMC3,6 points by MidsizeBlowfish 19 days ago  | discuss,19
Using survival analysis and git-pandas to estimate code quality,3 points by wdm0006 14 days ago  | discuss,14
An Analysis of the Flint Michigan Water Crisis: Part 1 Initial Corrosivity,3 points by JHorn 14 days ago  | discuss,14
An Analysis of Republican Twitter Follower Interests,6 points by michelangelo 20 days ago  | discuss,20
Introduction to ML talk,8 points by cjbayesian 23 days ago  | discuss,23
GloVe vs word2vec revisited,3 points by pmigdal 14 days ago  | discuss,14
Undergrad Data Analysis/Science internships SF Bay?,3 points by tctctc 9 days ago  | 5 comments,9
The Role of Statistical Significance in Growth Hacking,6 points by rawls234 21 days ago  | discuss,21
Data Science Course @ Harvard,7 points by rahmaniacc 23 days ago  | 2 comments,23
Principal Component Projection Without Principal Component Analysis,6 points by genofon 21 days ago  | discuss,21
"Machine Learning: An In-Depth, Non-Technical Guide - Part 3",7 points by innoarchitech 23 days ago  | discuss,23
Stochastic Dummy Boosting,2 points by mikeskim 12 days ago  | discuss,12
Interactive Map: Hong-Kong through The Lense of Instagram,2 points by BrianN 13 days ago  | discuss,13
Data Science at Monsanto,3 points by doctorcroc 16 days ago  | discuss,16
Data Science at Instacart,11 points by jeremystan 28 days ago  | 3 comments,28
Building a Streaming Search Platform,6 points by ddrum001 22 days ago  | discuss,22
A Sneak Peak of the Cloud: the 2 Minute Intro for Beginners,2 points by andymaheshw 14 days ago  | discuss,14
Win-Vector video courses: price/status changes,2 points by jmount 14 days ago  | discuss,14
50+ Data Science and Machine Learning Cheat Sheets,20 points by elyase 36 days ago  | 1 comment,36
One More Reason Not To Be Scared of Deep Learning,2 points by amplifier_khan 15 days ago  | discuss,15
Visual Logic Authoring vs Code,2 points by AnnaOnTheWeb 15 days ago  | discuss,15
Data Science in Python online training with hands-on experience,2 points by Puneet 15 days ago  | discuss,15
Viewing the US Presidential Primary Through the Lens of Twitter,8 points by michelangelo 27 days ago  | discuss,27
Caffe on Spark open sourced,4 points by rahmaniacc 21 days ago  | discuss,21
