title,date,days,tokens,stem,lemma,pos_tags,named_entities
10 Years of Open Source Machine Learning,7 points by tstonez 19 hours ago  | 1 comment,1,"['10', 'years', 'open', 'source', 'machine', 'learning']",10 Years of Open Source Machine Learn,10 Years of Open Source Machine Learning,"[('10', 'CD'), ('Years', 'NNS'), ('of', 'IN'), ('Open', 'NNP'), ('Source', 'NNP'), ('Machine', 'NNP'), ('Learning', 'NNP')]",['Open Source Machine']
What machines can learn from Apple Watch: detecting undiagnosed heart condition,2 points by koukouhappy 7 hours ago  | discuss,1,"['machines', 'learn', 'apple', 'watch', 'detecting', 'undiagnosed', 'heart', 'condition']",What machines can learn from Apple Watch: detecting undiagnosed heart condit,What machines can learn from Apple Watch: detecting undiagnosed heart condition,"[('What', 'WP'), ('machines', 'NNS'), ('can', 'MD'), ('learn', 'VB'), ('from', 'IN'), ('Apple', 'NNP'), ('Watch', 'NNP'), (':', ':'), ('detecting', 'NN'), ('undiagnosed', 'JJ'), ('heart', 'NN'), ('condition', 'NN')]",['Apple Watch']
The Deep Roots of Javascript Fatigue,3 points by nikkielizdemere 13 hours ago  | discuss,1,"['deep', 'roots', 'javascript', 'fatigue']",The Deep Roots of Javascript Fatigu,The Deep Roots of Javascript Fatigue,"[('The', 'DT'), ('Deep', 'NNP'), ('Roots', 'NNP'), ('of', 'IN'), ('Javascript', 'NNP'), ('Fatigue', 'NNP')]","['Deep Roots', 'Javascript Fatigue']"
Data science intro for math/phys background,9 points by pmigdal 1 day ago  | discuss,1,"['data', 'science', 'intro', 'math', 'phys', 'background']",Data science intro for math/phys background,Data science intro for math/phys background,"[('Data', 'NNP'), ('science', 'NN'), ('intro', 'NN'), ('for', 'IN'), ('math', 'NN'), ('/', 'NNP'), ('phys', 'NN'), ('background', 'NN')]",['Data']
"Data Science Pop-Up in Austin, TX",2 points by AnnaOnTheWeb 13 hours ago  | discuss,1,"['data', 'science', 'pop', 'austin', 'tx']","Data Science Pop-Up in Austin, TX","Data Science Pop-Up in Austin, TX","[('Data', 'NNP'), ('Science', 'NNP'), ('Pop', 'NNP'), ('-', ':'), ('Up', 'NN'), ('in', 'IN'), ('Austin', 'NNP'), (',', ','), ('TX', 'NNP')]","['Data Science Pop', 'Austin']"
Data Science Tools: The Biggest Winners and Losers,8 points by AnnaOnTheWeb 1 day ago  | discuss,1,"['data', 'science', 'tools', 'biggest', 'winners', 'losers']",Data Science Tools: The Biggest Winners and Los,Data Science Tools: The Biggest Winners and Losers,"[('Data', 'NNP'), ('Science', 'NNP'), ('Tools', 'NNP'), (':', ':'), ('The', 'DT'), ('Biggest', 'NNP'), ('Winners', 'NNPS'), ('and', 'CC'), ('Losers', 'NNS')]","['Data Science Tools', 'Biggest Winners']"
Analyzing Golden State Warriors' passing network using GraphFrames in Spark,3 points by yukiegosapporo 21 hours ago  | discuss,1,"['analyzing', 'golden', 'state', 'warriors', 'passing', 'network', 'using', 'graphframes', 'spark']",Analyzing Golden State Warriors' passing network using GraphFrames in Spark,Analyzing Golden State Warriors' passing network using GraphFrames in Spark,"[('Analyzing', 'VBG'), ('Golden', 'NNP'), ('State', 'NNP'), ('Warriors', 'NNP'), (""'"", 'POS'), ('passing', 'NN'), ('network', 'NN'), ('using', 'VBG'), ('GraphFrames', 'NNP'), ('in', 'IN'), ('Spark', 'NNP')]","['Golden State Warriors', 'GraphFrames', 'Spark']"
Making transparent how variations in analytical choices affect results,4 points by rahmaniacc 1 day ago  | discuss,1,"['making', 'transparent', 'variations', 'analytical', 'choices', 'affect', 'results']",Making transparent how variations in analytical choices affect result,Making transparent how variations in analytical choices affect results,"[('Making', 'VBG'), ('transparent', 'JJ'), ('how', 'WRB'), ('variations', 'NNS'), ('in', 'IN'), ('analytical', 'JJ'), ('choices', 'NNS'), ('affect', 'VBP'), ('results', 'NNS')]",[]
Neural Networks demystified,13 points by elyase 2 days ago  | discuss,2,"['neural', 'networks', 'demystified']",Neural Networks demystifi,Neural Networks demystified,"[('Neural', 'JJ'), ('Networks', 'NNP'), ('demystified', 'VBD')]",['Neural Networks']
Has your conversion rate changed? Bayesian timeseries analysis with Python,10 points by yummyfajitas 2 days ago  | discuss,2,"['conversion', 'rate', 'changed', 'bayesian', 'timeseries', 'analysis', 'python']",Has your conversion rate changed? Bayesian timeseries analysis with Python,Has your conversion rate changed? Bayesian timeseries analysis with Python,"[('Has', 'NNP'), ('your', 'PRP$'), ('conversion', 'NN'), ('rate', 'NN'), ('changed', 'VBN'), ('?', '.'), ('Bayesian', 'JJ'), ('timeseries', 'NNS'), ('analysis', 'NN'), ('with', 'IN'), ('Python', 'NNP')]",['Python']
